Index,Basis,Filter,Time,Min,Max,Std Dev,Variation,Range,Mean,Median,Kurtosis,Skewness,NaN Count
0,emm_exi_l2a_20211122T141628_0137_xos7_f635_f_v06-02,F635,2021-11-22T14:16:28.76,-19.596924,2501.8967,757.0759,573164.0,2521.4937,762.4865,533.22876,-1.3743373,"(0.42870167,)",9511109
1,emm_exi_l2a_20211122T142128_0137_xos7_f635_f_v06-02,F635,2021-11-22T14:21:28.75,-17.556152,2499.7856,758.4691,575275.4,2517.3418,760.5899,528.16223,-1.3726217,"(0.43568096,)",9498708
2,emm_exi_l2a_20211122T142628_0137_xos7_f635_f_v06-02,F635,2021-11-22T14:26:28.75,-16.28955,2501.3337,758.7356,575679.7,2517.6233,756.0348,519.01404,-1.3681202,"(0.44511005,)",9484736
3,emm_exi_l2a_20211122T143128_0137_xos7_f635_f_v06-02,F635,2021-11-22T14:31:28.75,-14.248779,2506.119,761.9441,580558.8,2520.3677,756.75385,515.70667,-1.3639545,"(0.45221597,)",9477252
4,emm_exi_l2a_20211122T143628_0137_xos7_f635_f_v06-02,F635,2021-11-22T14:36:28.74,-16.711914,2503.8672,760.93933,579028.7,2520.579,753.9047,508.95117,-1.3615602,"(0.4573155,)",9473258
5,emm_exi_l2a_20211122T144128_0137_xos7_f635_f_v06-02,F635,2021-11-22T14:41:28.74,-15.374756,2504.0781,761.91504,580514.5,2519.453,748.85846,495.4402,-1.3581364,"(0.46521866,)",9464318
6,emm_exi_l2a_20211122T144628_0137_xos7_f635_f_v06-02,F635,2021-11-22T14:46:28.74,-16.148926,2496.83,759.9271,577489.2,2512.979,743.17535,483.4773,-1.3536502,"(0.47311863,)",9456396
7,emm_exi_l2a_20211122T145128_0137_xos7_f635_f_v06-02,F635,2021-11-22T14:51:28.73,-14.952637,2515.6892,760.24615,577974.25,2530.6418,741.32367,477.6366,-1.3510305,"(0.4787598,)",9446581
8,emm_exi_l2a_20211122T145628_0137_xos7_f635_f_v06-02,F635,2021-11-22T14:56:28.73,-16.571045,2505.4856,760.7097,578679.25,2522.0566,737.09235,470.17737,-1.3474138,"(0.48603433,)",9440039
9,emm_exi_l2a_20211122T141652_0137_xos7_f320_f_v06-02,F320,2021-11-22T14:16:52.78,-18.752441,4272.825,859.3093,738412.5,4291.5776,930.6526,876.77454,0.076700844,"(0.731053,)",9494519
10,emm_exi_l2a_20211122T142152_0137_xos7_f320_f_v06-02,F320,2021-11-22T14:21:52.77,-18.682129,4279.44,858.0601,736267.1,4298.122,923.2248,866.00806,0.1149575,"(0.7487289,)",9492493
11,emm_exi_l2a_20211122T142652_0137_xos7_f320_f_v06-02,F320,2021-11-22T14:26:52.77,-20.019287,4264.5215,855.0274,731071.8,4284.541,918.72375,861.15247,0.09936852,"(0.7525456,)",9481425
12,emm_exi_l2a_20211122T143152_0137_xos7_f320_f_v06-02,F320,2021-11-22T14:31:52.77,-16.922852,4204.215,849.26514,721251.3,4221.1377,906.0223,846.7267,0.073757716,"(0.75537854,)",9473847
13,emm_exi_l2a_20211122T143652_0137_xos7_f320_f_v06-02,F320,2021-11-22T14:36:52.76,-18.400635,4110.0596,841.0359,707341.4,4128.46,893.9266,835.3268,0.042206045,"(0.7540387,)",9465857
14,emm_exi_l2a_20211122T144152_0137_xos7_f320_f_v06-02,F320,2021-11-22T14:41:52.76,-18.682129,4091.4116,840.06116,705702.75,4110.0938,887.299,823.9972,0.043548636,"(0.7652824,)",9455262
15,emm_exi_l2a_20211122T144652_0137_xos7_f320_f_v06-02,F320,2021-11-22T14:46:52.76,-19.596924,3994.794,833.4712,694674.25,4014.3909,876.76636,814.7084,-0.015898786,"(0.7561569,)",9446265
16,emm_exi_l2a_20211122T145152_0137_xos7_f320_f_v06-02,F320,2021-11-22T14:51:52.75,-17.556152,3977.5532,830.134,689122.4,3995.1094,871.3163,809.2899,-0.030655818,"(0.75874996,)",9441833
17,emm_exi_l2a_20211122T145652_0137_xos7_f320_f_v06-02,F320,2021-11-22T14:56:52.75,-17.48584,3999.7197,825.65405,681704.6,4017.2056,862.8645,801.6195,-0.0669502,"(0.7564384,)",9431152
